lonXStart, latYStart, TimeStart, lonXEnd, latYEnd, TimeEnd, MMSI
-128.40944,48.715493,411725429,-128.223945,48.68379,411727729,538249800
-127.192742,48.509027,411740198,-126.999135,48.477737,411742587,538249800
-126.999135,48.477737,411742587,-126.413793,48.47567,411749548,538249800
-123.62606,49.01595,412166311,-123.626167,49.016472,412168111,538249800
-123.626435,49.015427,412680390,-123.627472,49.01494,412682369,538249800
-123.626933,49.014997,412712430,-123.627033,49.014997,412714409,538249800
-176.159522,52.812795,411127306,-168.42114,54.264132,411209051,353062000
-165.297803,54.358952,411240561,-164.814093,54.325338,411245251,353062000
-164.065047,54.219085,411254220,-163.665197,54.201517,411258520,353062000
-161.669328,54.212172,411278891,-142.77264,52.050475,411535090,353062000
-142.635652,52.000303,411537290,-136.458405,50.269783,411650870,353062000
-136.453787,50.269242,411650929,-135.734405,50.213195,411659838,353062000
-135.734405,50.213195,411659838,-135.509713,50.192415,411662638,353062000
-135.509713,50.192415,411662638,-134.80809,50.019337,411671838,353062000
-134.350898,49.850863,411678269,-134.102425,49.75753,411681919,353062000
-132.702842,49.257813,411702627,-127.402117,47.550675,411774489,353062000
-127.227368,47.546788,411776589,-127.066858,47.541977,411778547,353062000
-125.784675,46.71135,411803998,-125.558482,46.76813,411807160,353062000
-125.52522,46.77734,411807599,-125.432813,46.677365,411809871,353062000
-122.701115,45.549585,411897347,-122.701143,45.549628,411900590,353062000
-122.701207,45.549638,411904548,-122.701132,45.549618,411907609,353062000
-122.701123,45.549662,411933348,-122.701162,45.549602,411935868,353062000
-122.701107,45.549583,411983747,-122.70114,45.549625,411987530,353062000
-122.70114,45.549607,412192548,-122.701135,45.549607,412195970,353062000
-126.955247,46.547728,412271969,-126.73486,46.683283,412275560,353062000
-126.322027,47.09207,412290309,-126.477282,47.084998,412292149,353062000
-127.594552,47.334553,412326768,-127.437797,47.389653,412328807,353062000
-123.647837,49.031173,412436282,-123.648022,49.031297,412438442,353062000
-123.646078,49.031215,412647600,-123.646025,49.031218,412649761,353062000
-123.646058,49.031183,412654441,-123.646038,49.031193,412656422,353062000
-123.645903,49.031227,412658762,-123.645907,49.031262,412660562,353062000
-123.64608,49.03083,412687562,-123.645865,49.030913,412689542,353062000
-123.644368,49.031485,412746241,-123.644255,49.031568,412748041,353062000
-123.648385,49.031118,412890602,-123.648353,49.031333,412893302,353062000
-123.64849,49.031318,412894381,-123.647925,49.031138,412896182,353062000
-136.321672,43.313185,410628293,-135.21087,42.671477,410641284,566000763
-135.20567,42.66861,410641344,-134.630565,42.326137,410648178,566000763
-133.084142,41.373928,410666232,-132.884763,41.24576,410668725,566000763
-132.787362,41.183138,410669966,-132.554928,41.03531,410672905,566000763
-129.719835,39.124035,410709559,-129.579928,39.027137,410711434,566000763
-125.326838,45.263293,411364743,-125.313147,45.495355,411367330,566000763
-127.788602,49.636992,411625916,-128.02582,49.751542,411628022,566000763
-128.076285,49.772618,411628454,-129.450235,50.413712,411640312,566000763
-133.615662,52.13893,411675495,-135.677093,52.890818,411691814,566000763
-135.677093,52.890818,411691814,-136.041685,53.017425,411694634,566000763
-136.041685,53.017425,411694634,-148.472213,56.356302,411788685,566000763
-149.371233,56.531117,411794884,-149.845852,56.619097,411798058,566000763
-154.22947,55.977485,411828095,-160.8737,54.357747,411872595,566000763
